,Distance,Radius,X,Y,Z
71,8.345,5.182,224.396,196.507,200.045
72,8.376,5.187,224.393,196.48,200.053
73,8.398,5.189,224.40099999999998,196.454,200.06099999999998
74,8.41,5.19,224.422,196.433,200.06799999999998
75,8.412,5.19,224.455,196.422,200.075
76,8.424,5.186,224.5,196.425,200.082
77,8.452,5.172999999999999,224.55700000000002,196.445,200.08700000000002
78,8.496,5.148,224.625,196.487,200.09099999999998
79,8.558,5.109,224.705,196.555,200.093
80,8.639,5.055,224.795,196.65200000000002,200.09400000000002
81,8.736,4.987,224.896,196.775,200.09599999999998
82,8.845,4.905,225.00599999999997,196.922,200.10299999999998
83,8.962,4.812,225.122,197.088,200.11700000000002
84,9.083,4.716,225.245,197.27,200.142
85,9.205,4.628,225.373,197.465,200.18
86,9.323,4.558,225.503,197.67,200.236
87,9.434,4.5089999999999995,225.636,197.87900000000002,200.313
88,9.533,4.468999999999999,225.77,198.09099999999998,200.412
89,9.617,4.419,225.90200000000002,198.30200000000002,200.53900000000002
90,9.683,4.345,226.03400000000002,198.50799999999998,200.69299999999998
91,9.732999999999999,4.234,226.16299999999998,198.709,200.872
92,9.769,4.0969999999999995,226.29,198.905,201.07
93,9.792,3.951,226.416,199.093,201.28099999999998
94,9.806000000000001,3.8139999999999996,226.54,199.275,201.50099999999998
95,9.812000000000001,3.699,226.662,199.44799999999998,201.725
96,9.815,3.605,226.783,199.614,201.94799999999998
97,9.821,3.528,226.90200000000002,199.77,202.165
98,9.827,3.463,227.02,199.916,202.37
99,9.834,3.405,227.136,200.05200000000002,202.55900000000003
100,9.839,3.355,227.25,200.17700000000002,202.727
101,9.843,3.3169999999999997,227.36,200.292,202.877
102,9.847999999999999,3.2939999999999996,227.467,200.395,203.007
103,9.856,3.2889999999999997,227.567,200.486,203.118
104,9.869,3.299,227.65900000000002,200.567,203.21099999999998
105,9.886000000000001,3.319,227.74200000000002,200.636,203.287
106,9.911,3.342,227.815,200.69299999999998,203.345
107,9.942,3.364,227.875,200.738,203.387
108,9.982000000000001,3.3819999999999997,227.923,200.77200000000002,203.41299999999998
109,10.031,3.3960000000000004,227.955,200.793,203.424
110,10.089,3.408,227.97299999999998,200.804,203.421
111,10.155,3.417,227.979,200.80599999999998,203.40900000000002
112,10.228,3.425,227.976,200.80200000000002,203.392
113,10.305,3.43,227.968,200.794,203.37400000000002
114,10.385,3.432,227.958,200.78599999999997,203.358
115,10.468,3.4330000000000003,227.947,200.77900000000002,203.35
116,10.550999999999998,3.431,227.94099999999997,200.77700000000002,203.354
117,10.633,3.425,227.94099999999997,200.782,203.373
118,10.713,3.415,227.951,200.797,203.412
119,10.790999999999999,3.4,227.97299999999998,200.82299999999998,203.475
120,10.868,3.38,228.00900000000001,200.862,203.563
121,10.945,3.359,228.055,200.912,203.669
122,11.023,3.34,228.109,200.97,203.79
123,11.104000000000001,3.3280000000000003,228.169,201.03400000000002,203.921
124,11.187999999999999,3.323,228.232,201.10299999999998,204.05700000000002
125,11.277000000000001,3.324,228.294,201.174,204.19400000000002
126,11.370999999999999,3.3289999999999997,228.354,201.24400000000003,204.326
127,11.470999999999998,3.3360000000000003,228.41,201.313,204.449
128,11.581,3.344,228.457,201.377,204.55900000000003
129,11.700999999999999,3.35,228.495,201.435,204.65
130,11.83,3.352,228.52200000000002,201.486,204.722
131,11.966,3.3480000000000003,228.54,201.53099999999998,204.778
132,12.104000000000001,3.3360000000000003,228.551,201.56799999999998,204.82
133,12.241,3.319,228.55599999999998,201.59900000000002,204.851
134,12.373,3.301,228.55700000000002,201.62400000000002,204.87400000000002
135,12.497,3.284,228.55599999999998,201.643,204.891
136,12.609000000000002,3.27,228.554,201.65599999999998,204.905
137,12.71,3.26,228.553,201.66299999999998,204.918
138,12.8,3.253,228.554,201.66400000000002,204.93400000000003
139,12.886,3.2460000000000004,228.55900000000003,201.66099999999997,204.955
140,12.977,3.239,228.567,201.65200000000002,204.98
141,13.077,3.2310000000000003,228.578,201.641,205.007
142,13.185,3.225,228.59099999999998,201.627,205.03599999999997
143,13.299000000000001,3.22,228.605,201.613,205.06400000000002
144,13.414000000000001,3.216,228.61900000000003,201.59900000000002,205.09
145,13.527999999999999,3.215,228.632,201.58599999999998,205.111
146,13.635,3.215,228.643,201.576,205.127
147,13.731,3.218,228.65099999999998,201.56900000000002,205.13400000000001
148,13.812999999999999,3.2230000000000003,228.655,201.56799999999998,205.13299999999998
149,13.879000000000001,3.23,228.65400000000002,201.572,205.12
150,13.933,3.237,228.65099999999998,201.581,205.101
151,13.98,3.245,228.646,201.593,205.079
152,14.020999999999999,3.2510000000000003,228.642,201.606,205.06
153,14.055,3.2560000000000002,228.64,201.61700000000002,205.049
154,14.082,3.2569999999999997,228.643,201.62599999999998,205.051
155,14.112,3.2539999999999996,228.65400000000002,201.62900000000002,205.071
156,14.161,3.245,228.672,201.62599999999998,205.114
157,14.24,3.23,228.702,201.614,205.18400000000003
158,14.357999999999999,3.21,228.74400000000003,201.59099999999998,205.28799999999998
159,14.519,3.185,228.801,201.55599999999998,205.428
160,14.72,3.156,228.86900000000003,201.513,205.601
161,14.952,3.1260000000000003,228.945,201.465,205.799
162,15.207,3.1,229.02599999999998,201.418,206.017
163,15.478,3.083,229.109,201.375,206.24900000000002
164,15.755,3.0810000000000004,229.18900000000002,201.34099999999998,206.487
165,16.033,3.093,229.264,201.321,206.727
166,16.301,3.112,229.33,201.31799999999998,206.96099999999998
167,16.554000000000002,3.1310000000000002,229.38400000000001,201.33700000000002,207.183
168,16.782,3.139,229.422,201.38299999999998,207.387
169,16.98,3.135,229.442,201.457,207.56799999999998
170,17.148,3.1210000000000004,229.447,201.55599999999998,207.72799999999998
171,17.29,3.102,229.44099999999997,201.675,207.868
172,17.408,3.082,229.426,201.80700000000002,207.99
173,17.503,3.0660000000000003,229.40599999999998,201.949,208.097
174,17.579,3.054,229.385,202.093,208.19099999999997
175,17.637,3.048,229.36599999999999,202.236,208.273
176,17.68,3.05,229.35299999999998,202.37099999999998,208.347
177,17.71,3.0580000000000003,229.34900000000002,202.493,208.41299999999998
178,17.732,3.068,229.358,202.59799999999998,208.475
179,17.749000000000002,3.071,229.38099999999997,202.68099999999998,208.533
180,17.764,3.06,229.42,202.745,208.58900000000003
181,17.779,3.032,229.47299999999998,202.793,208.643
182,17.791,2.9939999999999998,229.54,202.828,208.696
183,17.799,2.957,229.622,202.85299999999998,208.748
184,17.801,2.932,229.717,202.87099999999998,208.8
185,17.81,2.925,229.825,202.88400000000001,208.85299999999998
186,17.831,2.9339999999999997,229.947,202.896,208.908
187,17.867,2.948,230.081,202.91,208.96400000000003
188,17.921,2.96,230.227,202.928,209.023
189,17.994,2.9610000000000003,230.385,202.952,209.085
190,18.083,2.9539999999999997,230.549,202.982,209.149
191,18.182000000000002,2.9419999999999997,230.717,203.015,209.21599999999998
192,18.288,2.932,230.885,203.05,209.285
193,18.398,2.928,231.05,203.08700000000002,209.357
194,18.508,2.929,231.206,203.125,209.43
195,18.613,2.9339999999999997,231.351,203.162,209.50400000000002
196,18.71,2.938,231.481,203.196,209.58
197,18.798,2.94,231.593,203.227,209.65599999999998
198,18.874000000000002,2.94,231.68200000000002,203.25400000000002,209.734
199,18.941,2.94,231.748,203.27700000000002,209.812
